"Gender","Age","Induction","Content1","Calm1","Energetic1","Empowered1","Sad1","Frustrated1","Vigilant1","Bored1","Serene1","Unhappy1","SelfAssured1","Vulnerable1","Stressed1","Surprised1","InControl1","Active1","Depressed1","Unconcerned1","Nervous1","Enthusiastic1","Relaxed1","Anxious1","Overwhelmed1","Helpless1","AtEase1","Confident1","Angry1","Scared1","Satisfied1","Disheartened1","Upset1","Passive1","Panicked1","Asleep1","Happy1","Elated1","Joyful1","Insecure1","Tense1","Aggressive1","Content2","Calm2","Energetic2","Empowered2","Sad2","Frustrated2","Vigilant2","Bored2","Serene2","Unhappy2","SelfAssured2","Vulnerable2","Stressed2","Surprised2","InControl2","Active2","Depressed2","Unconcerned2","Nervous2","Enthusiastic2","Relaxed2","Anxious2","Overwhelmed2","Helpless2","AtEase2","Confident2","Angry2","Scared2","Satisfied2","Disheartened2","Upset2","Passive2","Panicked2","Asleep2","Happy2","Elated2","Joyful2","Insecure2","Tense2","Aggressive2"
"F","21","Happy","71",52,71,25,80,17,14,0,17,0,48,53,48,0,72,70,0,46,21,47,70,69,75,22,30,23,0,0,50,0,0,69,0,0,62,52,56,74,0,0,79,77,80,29,24,0,0,0,79,0,23,65,23,65,79,64,0,0,0,79,70,27,19,0,81,82,0,0,72,0,0,23,0,0,52,63,74,0,0,0
"F","21","Happy","86",77,49,42,1,1,49,1,85,1,80,1,12,1,84,47,1,3,2,89,71,13,11,1,55,83,1,1,90,1,1,3,1,3,97,10,97,1,3,1,93,64,64,61,1,1,10,1,69,1,69,1,1,33,5,60,1,1,1,74,88,11,1,7,88,61,1,1,88,1,1,1,1,3,89,39,89,1,2,1
"M","22","Happy","61",37,10,76,7,12,26,57,39,6,73,6,48,3,28,0,40,30,23,17,47,40,51,3,37,11,24,47,62,21,14,75,46,56,65,11,65,28,42,15,55,66,30,80,21,17,46,12,51,7,70,8,10,61,43,72,20,25,23,69,59,10,13,8,49,42,5,56,64,22,18,11,5,9,61,33,46,9,36,20
"F","19","Happy","92",62,77,19,16,4,10,28,64,6,49,3,78,56,78,48,4,2,14,76,60,87,4,8,47,54,11,7,66,5,7,25,3,23,88,11,92,8,45,3,93,66,80,46,4,4,2,4,63,5,56,4,29,42,63,52,6,4,6,68,70,33,8,3,56,71,3,4,84,5,3,5,3,8,91,36,94,4,10,2
"F","19","Happy","31",67,13,34,69,39,70,77,19,28,32,27,47,14,32,28,60,63,33,47,10,15,75,59,18,18,28,8,27,16,33,60,17,63,65,21,56,9,33,46,64,79,61,30,31,29,56,64,21,28,22,36,12,15,35,43,32,60,9,34,50,10,38,30,52,42,15,12,35,20,21,72,8,67,60,33,56,10,14,34
"F","20","Happy","67",49,64,25,64,7,64,10,39,10,17,26,79,11,38,26,49,15,56,50,17,50,46,13,36,29,9,58,69,14,9,14,9,32,86,10,69,4,86,4,82,48,57,52,35,13,11,5,22,6,35,28,36,34,37,26,24,5,15,57,33,18,11,12,39,25,7,29,46,13,7,12,10,19,74,10,74,10,42,10
"F","42","Neutral","70",27,80,45,5,21,25,2,55,1,40,29,55,4,15,65,5,2,15,73,35,57,95,25,30,57,5,3,20,50,55,4,45,4,65,21,64,44,33,2,63,60,82,48,5,32,16,3,58,3,33,31,52,2,41,59,3,3,31,62,49,51,77,7,49,61,4,2,44,54,52,2,37,2,72,37,66,37,9,4
"F","20","Neutral","64",59,43,36,15,17,23,8,70,6,61,15,13,6,70,72,8,9,36,69,69,19,24,6,63,66,9,3,52,12,3,9,6,33,75,48,53,8,29,4,35,69,47,39,9,18,40,5,50,2,30,20,14,3,20,74,3,7,12,59,12,11,6,3,10,19,4,2,21,7,2,3,5,20,78,49,66,2,10,5
"F","28","Neutral","62",10,32,22,18,5,51,2,2,3,52,43,62,2,8,2,45,2,54,37,29,44,40,15,6,29,2,21,40,1,37,1,2,20,44,2,43,26,42,2,51,33,51,34,2,2,50,2,28,2,54,3,10,20,27,37,2,2,2,15,20,3,2,3,46,37,1,3,36,2,3,2,3,2,42,2,42,3,2,1
"F","19","Neutral","57",80,27,26,9,46,33,5,81,12,50,55,50,12,70,12,15,60,41,50,60,62,70,18,57,46,6,16,62,38,11,78,6,78,51,23,61,70,61,6,51,90,62,16,10,46,9,16,62,10,49,12,11,60,34,66,10,31,10,36,63,16,9,58,76,70,9,15,48,15,11,23,12,46,47,20,47,25,18,18
